ID,Severity,Start_Time,County,State
A-41,2,2016-02-09 17:12:40,Cuyahoga,OH
A-42,2,2016-02-09 17:13:58,Summit,OH
A-43,4,2016-02-09 18:20:58,Jay,IN
A-44,4,2016-02-09 18:20:58,Jay,IN
A-45,4,2016-02-09 22:37:48,Wayne,IN
A-46,4,2016-02-09 22:37:48,Wayne,IN
A-47,4,2016-02-10 06:17:32,Franklin,OH
A-48,4,2016-02-10 06:18:49,Van Wert,OH
A-49,2,2016-02-10 06:29:48,Henry,IN
A-50,2,2016-02-10 08:19:15,Cuyahoga,OH
A-51,2,2016-02-10 08:35:27,Crawford,PA
A-52,2,2016-02-10 08:44:31,Montgomery,OH
A-53,3,2016-02-10 08:39:16,Montgomery,OH
A-54,2,2016-02-10 08:39:16,Montgomery,OH
A-55,2,2016-02-10 08:48:06,Steuben,IN
A-56,2,2016-02-10 09:06:09,Franklin,OH
A-57,2,2016-02-10 09:06:09,Jefferson,KY
A-58,2,2016-02-10 09:08:29,Jefferson,KY
A-59,3,2016-02-10 09:08:29,Jefferson,KY
A-60,2,2016-02-10 09:18:13,Franklin,OH
A-61,2,2016-02-10 09:34:38,Summit,OH
A-62,3,2016-02-10 10:18:13,Clark,OH
A-63,2,2016-02-10 10:21:52,Erie,PA
A-64,2,2016-02-10 10:47:49,Franklin,OH
A-65,2,2016-02-10 11:09:08,Upshur,WV
A-66,2,2016-02-10 11:55:16,Lucas,OH
A-67,2,2016-02-10 12:54:39,Cuyahoga,OH
A-68,3,2016-02-10 13:34:10,Cuyahoga,OH
A-69,4,2016-02-10 13:59:39,Franklin,OH
A-70,4,2016-02-10 14:57:58,Lake,OH
A-71,4,2016-02-10 14:59:15,Lake,OH
A-72,2,2016-02-10 15:31:15,Cuyahoga,OH
A-73,2,2016-02-10 15:31:15,Montgomery,OH
A-74,2,2016-02-10 15:31:15,Cuyahoga,OH
A-75,4,2016-02-10 16:06:41,Washington,PA
A-76,2,2016-02-10 17:01:25,Kanawha,WV
A-77,2,2016-02-10 17:30:32,Summit,OH
A-78,2,2016-02-10 21:05:16,Cuyahoga,OH
A-79,4,2016-02-11 05:25:17,Steuben,IN
A-80,4,2016-02-11 05:25:17,Williams,OH
A-81,3,2016-02-11 05:35:40,Medina,OH
A-82,4,2016-02-11 06:25:19,Steuben,IN
A-83,4,2016-02-11 06:25:19,Williams,OH
A-84,2,2016-02-11 06:26:40,Montgomery,OH
A-85,2,2016-02-11 06:35:24,Cuyahoga,OH
A-86,3,2016-02-11 06:53:49,Cuyahoga,OH
A-87,3,2016-02-11 06:53:49,Pendleton,KY
A-88,3,2016-02-11 06:53:49,Kenton,KY
A-89,3,2016-02-11 07:22:41,Floyd,IN
A-90,2,2016-02-11 07:20:03,Kanawha,WV
A-91,2,2016-02-11 07:20:03,Kanawha,WV
A-92,2,2016-02-11 07:29:07,Summit,OH
A-93,3,2016-02-11 07:45:24,Allen,IN
A-94,3,2016-02-11 07:45:23,Braxton,WV
A-95,2,2016-02-11 07:47:57,Franklin,OH
A-96,2,2016-02-11 07:47:57,Cuyahoga,OH
A-97,2,2016-02-11 07:58:15,Hamilton,OH
A-98,2,2016-02-11 08:28:42,Montgomery,OH
A-99,2,2016-02-11 08:40:21,Hamilton,OH
A-100,2,2016-02-11 08:42:57,Summit,OH
A-101,2,2016-02-11 08:47:51,Kanawha,WV
A-102,2,2016-02-11 08:50:25,Summit,OH
A-103,2,2016-02-11 09:06:59,Hamilton,OH
A-104,2,2016-02-11 09:37:48,Franklin,OH
A-105,2,2016-02-11 09:41:40,Clark,IN
A-106,3,2016-02-11 10:33:42,Hamilton,OH
A-107,3,2016-02-11 10:33:42,Cuyahoga,OH
A-108,2,2016-02-11 11:42:07,Summit,OH
A-109,3,2016-02-11 12:02:32,Steuben,IN
A-110,2,2016-02-11 11:58:42,Hamilton,OH
A-111,2,2016-02-11 12:12:31,Cuyahoga,OH
A-112,2,2016-02-11 13:25:43,Summit,OH
A-113,2,2016-02-11 13:30:58,Allegheny,PA
A-114,2,2016-02-11 13:56:40,Summit,OH
A-115,2,2016-02-11 13:56:40,Summit,OH
A-116,2,2016-02-11 14:53:15,Hamilton,OH
A-117,2,2016-02-11 15:08:42,Kanawha,WV
A-118,2,2016-02-11 15:34:43,Cuyahoga,OH
A-119,2,2016-02-11 16:56:28,Allegheny,PA
A-120,2,2016-02-11 17:02:59,Cuyahoga,OH
A-121,2,2016-02-11 17:15:22,Hamilton,OH
A-122,2,2016-02-11 17:15:22,Hamilton,OH
A-123,2,2016-02-11 17:16:39,Cuyahoga,OH
A-124,2,2016-02-11 17:16:39,Cuyahoga,OH
A-125,2,2016-02-11 18:01:57,Kenton,KY
A-126,2,2016-02-11 18:34:41,Montgomery,OH
A-127,2,2016-02-11 18:33:23,Franklin,OH
A-128,2,2016-02-11 19:11:02,Hamilton,OH
A-129,2,2016-02-11 19:12:21,Hamilton,OH
A-130,2,2016-02-11 19:16:19,Hamilton,OH
A-131,2,2016-02-11 19:21:41,Franklin,OH
A-132,4,2016-02-11 19:57:31,Allegheny,PA
A-133,4,2016-02-11 19:57:31,Allegheny,PA
A-134,2,2016-02-11 19:58:48,Cuyahoga,OH
A-135,2,2016-02-11 20:09:17,Summit,OH
A-136,2,2016-02-11 20:58:41,Montgomery,OH
A-137,2,2016-02-12 10:07:44,Cuyahoga,OH
A-138,4,2016-02-12 16:15:51,Monroe,MI
A-139,4,2016-02-12 19:29:53,Mercer,PA
A-140,4,2016-02-12 22:22:57,Delaware,IN
A-141,4,2016-02-12 22:26:48,Wayne,IN
A-142,4,2016-02-12 22:28:05,Delaware,IN
A-143,4,2016-02-12 22:28:05,Grant,IN
A-144,4,2016-02-12 22:26:48,Wayne,IN
A-145,2,2016-02-12 23:04:14,Hamilton,OH
A-146,2,2016-02-12 23:04:14,Boone,KY
A-147,2,2016-02-12 23:04:14,Kenton,KY
A-148,4,2016-02-13 04:56:20,Montgomery,OH
A-149,3,2016-02-13 07:14:41,Allegheny,PA
A-150,3,2016-02-13 09:13:49,Mercer,PA
A-151,4,2016-02-13 16:00:59,Hamilton,OH
A-152,4,2016-02-13 18:06:41,Lucas,OH
A-153,3,2016-02-13 18:48:40,Allegheny,PA
A-154,4,2016-02-13 22:20:43,Franklin,OH
A-155,4,2016-02-14 03:58:33,Allegheny,PA
A-156,4,2016-02-14 05:26:58,Cuyahoga,OH
A-157,4,2016-02-14 16:30:40,Decatur,IN
A-158,4,2016-02-14 16:38:40,Hancock,IN
A-159,3,2016-02-14 17:40:17,Madison,IN
A-160,4,2016-02-14 18:02:32,Montgomery,OH
A-161,3,2016-02-14 18:03:51,Madison,IN
A-162,4,2016-02-14 18:25:41,Henry,IN
A-163,4,2016-02-15 02:01:29,Washington,PA
A-164,4,2016-02-15 03:06:11,Allegheny,PA
A-165,4,2016-02-15 04:32:48,Washington,PA
A-166,4,2016-02-15 05:10:51,Washington,PA
A-167,2,2016-02-15 05:45:22,Franklin,OH
A-168,2,2016-02-15 06:15:54,Franklin,OH
A-169,4,2016-02-15 06:18:26,Marion,IN
A-170,2,2016-02-15 06:37:42,Clark,IN
A-171,4,2016-02-15 06:57:57,Floyd,IN
A-172,2,2016-02-15 07:01:46,Franklin,OH
A-173,3,2016-02-15 07:13:27,Clark,IN
A-174,2,2016-02-15 07:14:44,Jefferson,KY
A-175,2,2016-02-15 07:14:44,Franklin,OH
A-176,4,2016-02-15 07:34:04,Noble,IN
A-177,4,2016-02-15 07:34:04,Noble,IN
A-178,3,2016-02-15 07:34:04,Monroe,MI
A-179,4,2016-02-15 08:54:54,Van Wert,OH
A-180,4,2016-02-15 08:54:54,Van Wert,OH
A-181,2,2016-02-15 10:06:20,Franklin,OH
A-182,4,2016-02-15 10:56:40,Van Wert,OH
A-183,4,2016-02-15 10:56:40,Van Wert,OH
A-184,2,2016-02-15 11:21:10,Lucas,OH
A-185,2,2016-02-15 12:26:40,Cuyahoga,OH
A-186,3,2016-02-15 13:03:46,Clark,IN
A-187,2,2016-02-15 14:07:41,Hamilton,OH
A-188,3,2016-02-15 14:48:00,Saint Joseph,MI
A-189,2,2016-02-15 16:21:40,Cuyahoga,OH
A-190,2,2016-02-15 16:38:32,Butler,OH
A-191,2,2016-02-15 19:02:45,Franklin,OH
A-192,4,2016-02-15 20:46:40,Jefferson,IN
A-193,4,2016-02-15 20:46:40,Jefferson,IN
A-194,4,2016-02-15 23:04:19,Wells,IN
A-195,4,2016-02-15 23:04:19,Wells,IN
A-196,4,2016-02-15 23:51:06,Mercer,PA
A-197,4,2016-02-16 00:29:59,Jay,IN
A-198,4,2016-02-16 00:29:59,Jay,IN
A-199,4,2016-02-16 02:45:16,Guernsey,OH
A-200,2,2016-02-16 04:54:40,Licking,OH
A-201,2,2016-02-16 04:55:56,Franklin,OH
A-202,2,2016-02-16 06:02:12,Allegheny,PA
A-203,3,2016-02-16 06:09:59,Franklin,OH
A-204,2,2016-02-16 06:08:42,Summit,OH
A-205,2,2016-02-16 07:40:21,Hamilton,IN
A-206,2,2016-02-16 08:12:40,Franklin,OH
A-207,3,2016-02-16 08:11:18,Franklin,OH
A-208,2,2016-02-16 08:17:49,Franklin,OH
A-209,2,2016-02-16 08:23:57,Hamilton,IN
A-210,2,2016-02-16 08:59:39,Summit,OH
A-211,4,2016-02-16 08:59:39,Mahoning,OH
A-212,4,2016-02-16 08:59:39,Mahoning,OH
A-213,2,2016-02-16 08:59:39,Franklin,OH
A-214,2,2016-02-16 09:01:58,Jefferson,KY
A-215,2,2016-02-16 09:13:17,Cuyahoga,OH
A-216,2,2016-02-16 09:18:13,Braxton,WV
A-217,4,2016-02-16 09:32:26,Mahoning,OH
A-218,2,2016-02-16 09:41:14,Franklin,OH
A-219,2,2016-02-16 09:54:12,Summit,OH
A-220,2,2016-02-16 09:58:03,Franklin,OH
A-221,2,2016-02-16 10:05:57,Franklin,OH
A-222,2,2016-02-16 10:12:23,Franklin,OH
A-223,2,2016-02-16 11:46:40,Allen,IN
A-224,2,2016-02-16 11:46:40,Allen,IN
A-225,2,2016-02-16 12:08:17,Montgomery,KY
A-226,2,2016-02-16 12:18:42,Lucas,OH
A-227,2,2016-02-16 12:40:34,Hamilton,OH
A-228,4,2016-02-16 13:47:40,Huntington,IN
A-229,4,2016-02-16 13:47:40,Huntington,IN
A-230,2,2016-02-16 14:36:56,Mahoning,OH
A-231,2,2016-02-16 14:38:16,Wood,OH
A-232,2,2016-02-16 15:26:16,Cabell,WV
A-233,2,2016-02-16 15:46:00,Lucas,OH
A-234,2,2016-02-16 16:25:43,Kenton,KY
A-235,2,2016-02-16 16:42:32,Harrison,WV
A-236,2,2016-02-16 16:43:51,Kanawha,WV
A-237,2,2016-02-16 16:47:47,Franklin,OH
A-238,3,2016-02-16 17:45:19,Cuyahoga,OH
A-239,3,2016-02-16 18:13:50,Summit,OH
A-240,4,2016-02-16 18:13:50,Athens,OH
A-241,4,2016-02-16 18:13:50,Athens,OH
A-242,4,2016-02-17 00:52:54,Delaware,OH
A-243,4,2016-02-17 01:46:49,Steuben,IN
A-244,4,2016-02-17 04:16:32,Hamilton,OH
A-245,3,2016-02-17 07:17:47,Hancock,IN
A-246,2,2016-02-17 07:22:54,Summit,OH
A-247,4,2016-02-17 07:57:01,Franklin,OH
A-248,4,2016-02-17 07:57:01,Franklin,OH
A-249,2,2016-02-17 08:08:41,Cuyahoga,OH
A-250,3,2016-02-17 08:15:04,Franklin,OH
A-251,3,2016-02-17 08:15:04,Franklin,OH
A-252,2,2016-02-17 08:13:48,Medina,OH
A-253,2,2016-02-17 08:36:21,Cuyahoga,OH
A-254,2,2016-02-17 08:57:59,Hamilton,OH
A-255,2,2016-02-17 09:27:49,Hamilton,OH
A-256,2,2016-02-17 10:27:18,Muskingum,OH
